text_id,sent_id,finite_verb,non_finite_verb,length,befaft_bef,befaft_aft,argstr_NC,argstr_NP,argstr_PP,tense_pre,tense_pst,tense_fut,tense_cond,verb_POS,target_form
130,100781,start,regret,6,0,1,0,1,0,1,0,0,0,VVG,1
130,100782,start,get,3,0,1,0,1,0,1,0,0,0,VVG,1
130,100785,start,notice,6,0,1,0,1,0,1,0,0,0,VVG,1
130,100789,start,forget,6,0,0,1,0,0,1,0,0,0,VVG,1
130,100790,start,promise,7,0,0,1,0,0,1,0,0,0,VVG,1
130,100796,start,use,3,0,1,0,1,0,1,0,0,0,VVG,1
130,100974,start,emerge,6,0,0,1,0,0,0,0,0,0,VV,0
132,101275,start,reduce,6,0,1,0,1,0,1,0,0,0,VVG,1
132,101665,start,debate,6,0,1,0,1,0,1,0,0,0,VVG,1
134,102145,start,join,4,0,0,0,0,1,0,1,0,0,VV,0
137,103207,start,think,5,0,0,0,0,1,1,0,0,0,VVG,1
141,104053,start,contribute,10,0,0,1,0,0,1,0,0,0,VVG,1
145,106021,start,fight,5,1,0,0,1,0,0,1,0,0,VVG,1
147,106686,start,roll,4,0,0,0,0,1,0,1,0,0,VV,0
148,106851,start,modernise,9,0,1,0,1,0,0,1,0,0,VV,0
149,107451,start,knock,5,0,0,1,0,0,0,1,0,0,VVG,1
151,107775,hate,link,4,0,0,1,0,0,0,1,0,0,VVG,1
152,108078,start,lay,3,0,1,0,1,0,0,0,0,0,VV,0
152,108240,start,encourage,9,0,1,0,1,0,1,0,0,0,VV,0
153,108343,start,push,4,0,1,0,1,0,1,0,0,0,VVG,1
153,108431,start,tarnish,7,0,0,1,0,0,1,0,0,0,VV,0
159,110689,start,play,4,0,0,0,0,1,0,1,0,0,VVG,1
159,110694,start,open,4,0,0,1,0,0,0,1,0,0,VV,0
160,110944,start,talk,4,0,0,1,0,0,1,0,0,0,VVG,1
161,111085,start,nag,3,0,1,0,1,0,1,0,0,0,VV,0
162,111507,start,make,4,0,1,0,1,0,1,0,0,0,VVG,1
163,112073,start,behave,6,0,0,0,0,1,0,0,0,0,VVG,1
164,112460,start,come,4,0,0,1,0,0,1,0,0,0,VV,0
166,113073,start,fall,4,0,0,1,0,0,1,0,0,0,VV,0
166,113365,start,size,4,0,1,0,1,0,0,1,0,0,VVG,1
168,113950,start,make,4,0,1,0,1,0,1,0,0,0,VVG,1
173,115372,start,trade,5,0,0,0,0,1,1,0,0,0,VV,0
173,115521,start,look,4,0,1,1,0,0,0,1,0,0,VV,0
176,116131,start,sound,5,0,0,0,0,1,1,0,0,0,VV,0
176,116235,start,incubate,8,0,0,1,0,0,0,0,0,0,VV,0
178,116844,start,cry,3,0,0,1,0,0,0,1,0,0,VV,0
179,117233,start,get,3,0,1,0,1,0,0,1,0,0,VVG,1
181,117510,start,rub,3,0,0,0,0,1,1,0,0,0,VV,0
181,117614,start,march,5,0,0,1,0,0,1,0,0,0,VVG,1
183,118589,start,lift,4,0,0,1,0,0,0,1,0,0,VV,0
183,118596,start,adjust,6,0,0,1,0,0,1,0,0,0,VV,0
183,118605,start,accelerate,10,0,0,1,0,0,0,1,0,0,VV,0
184,119225,start,get,3,0,1,1,0,0,0,1,0,0,VV,0
184,119233,start,sweat,5,0,0,1,0,0,0,1,0,0,VVG,1
187,120234,start,finish,6,0,0,1,0,0,0,0,0,0,VV,0
188,120350,start,ask,3,0,1,0,1,0,1,0,0,0,VVG,1
188,120656,start,immerse,7,0,0,0,0,1,1,0,0,0,VV,0
188,121013,hate,go,2,0,0,1,0,0,1,0,0,0,VVG,1
188,121332,start,shout,5,0,0,1,0,0,0,1,0,0,VVG,1
189,122489,start,purchase,8,0,1,0,1,0,0,1,0,0,VV,0
190,123159,start,dig,3,0,1,0,1,0,0,0,0,0,VV,0
190,123306,start,throw,5,0,0,1,0,0,0,1,0,0,VV,0
190,123311,start,drop,4,0,1,0,1,0,0,1,0,0,VV,0
190,123505,start,walk,4,0,0,0,0,1,0,1,0,0,VV,0
190,123621,start,unload,6,0,1,0,1,0,0,1,0,0,VV,0
190,123622,start,dig,3,0,1,0,1,0,0,1,0,0,VV,0
190,123630,start,dig,3,0,0,1,0,0,0,1,0,0,VVG,1
190,123672,start,cook,4,0,1,0,1,0,0,1,0,0,VV,0
190,123689,start,drop,4,0,1,0,1,0,0,1,0,0,VV,0
190,123718,start,send,4,0,1,0,1,0,0,1,0,0,VVG,1
190,123860,start,laugh,5,0,0,1,0,0,0,1,0,0,VV,0
190,124392,start,send,4,1,0,0,1,0,1,0,0,0,VVG,1
190,124546,start,throw,5,0,1,0,1,0,0,0,0,0,VVG,1
190,124647,start,shell,5,0,1,0,1,0,0,1,0,0,VVG,1
190,124757,start,rain,4,0,1,0,1,0,0,1,0,0,VV,0
190,124938,start,appear,6,0,0,0,0,1,0,1,0,0,VV,0
190,124947,start,pull,4,0,0,1,0,0,1,0,0,0,VV,0
190,125027,start,walk,4,0,0,0,0,1,0,1,0,0,VV,0
190,125039,start,walk,4,1,0,0,1,0,1,0,0,0,VV,0
190,125154,start,move,4,0,0,0,0,1,1,0,0,0,VV,0
190,125220,start,moan,4,0,0,1,0,0,0,1,0,0,VVG,1
190,125220,start,move,4,0,1,0,1,0,0,1,0,0,VVG,1
190,125488,start,walk,4,0,0,1,0,0,0,1,0,0,VVG,1
192,126714,start,work,4,0,0,0,0,1,1,0,0,0,VVG,1
192,127072,start,pay,3,0,0,0,0,1,1,0,0,0,VV,0
192,127225,start,pay,3,0,0,1,0,0,1,0,0,0,VVG,1
193,127570,start,move,4,0,0,0,0,1,0,0,0,0,VVG,1
193,128043,start,occupy,6,0,1,0,1,0,0,1,0,0,VV,0
193,128857,start,shoot,5,0,1,0,1,0,0,1,0,0,VVG,1
193,128934,start,make,4,0,0,1,0,0,0,1,0,0,VV,0
193,129012,start,raise,5,0,1,0,1,0,0,1,0,0,VV,0
194,129474,start,create,6,0,1,0,1,0,0,1,0,0,VV,0
194,130442,start,ascend,6,0,0,1,0,0,0,0,0,0,VV,0
194,130678,start,travel,6,0,0,1,0,0,0,1,0,0,VVG,1
197,135350,start,pay,3,0,1,0,1,0,0,1,0,0,VV,0
197,135471,start,eat,3,0,1,0,1,0,0,1,0,0,VVG,1
197,135507,start,see,3,0,0,1,0,0,0,1,0,0,VV,0
197,135606,start,read,4,0,1,0,1,0,0,1,0,0,VV,0
197,135732,start,run,3,0,0,0,0,1,0,1,0,0,VVG,1
197,135835,start,speak,5,0,0,0,0,1,0,0,0,0,VV,0
197,136078,start,use,3,0,0,0,0,1,0,1,0,0,VV,0
197,136118,start,come,4,0,0,1,0,0,0,1,0,0,VV,0
197,136125,start,write,5,0,1,0,1,0,0,1,0,0,VV,0
197,136126,start,write,5,0,1,0,1,0,0,1,0,0,VVG,1
197,136288,start,wonder,6,0,0,1,0,0,0,0,0,0,VV,0
197,136458,start,run,3,0,1,0,1,0,0,1,0,0,VV,0
197,136747,start,talk,4,0,0,0,0,1,0,1,0,0,VV,0
